date,holiday
2023-12-25,Christmas Day
2024-01-01,New Year's Day
2024-02-09,The day preceding Korean New Year
2024-02-10,Korean New Year
2024-02-11,The second day of Korean New Year
2024-02-12,Alternative holiday for Korean New Year
2024-03-01,Independence Movement Day
2024-04-10,National Assembly Election Day
2024-05-05,Children's Day
2024-05-06,Alternative holiday for Children's Day
2024-05-15,Buddha's Birthday
2024-06-06,Memorial Day
2024-08-15,Liberation Day
2024-09-16,The day preceding Chuseok
2024-09-17,Chuseok
2024-09-18,The second day of Chuseok
2024-10-01,Armed Forces Day
2024-10-03,National Foundation Day
2024-10-09,Hangul Day
2024-12-25,Christmas Day
2025-01-01,New Year's Day
2025-01-27,Temporary Public Holiday
2025-01-28,The day preceding Korean New Year
2025-01-29,Korean New Year
2025-01-30,The second day of Korean New Year
2025-03-01,Independence Movement Day
2025-03-03,Alternative holiday for Independence Movement Day
2025-05-05,Buddha's Birthday; Children's Day
2025-05-06,Alternative holiday for Buddha's Birthday; Alternative holiday for Children's Day
2025-06-03,Presidential Election Day
2025-06-06,Memorial Day
2025-08-15,Liberation Day
2025-10-03,National Foundation Day
2025-10-05,The day preceding Chuseok
2025-10-06,Chuseok
2025-10-07,The second day of Chuseok
2025-10-08,Alternative holiday for Chuseok
2025-10-09,Hangul Day
2025-12-25,Christmas Day
